seed,eval_seed,n_transitions,train_mse_alt,heldout_mse_alt,clone_success,oracle_success
0,12345,18669,0.04878029,0.0526269,0.095,1.0
1,12346,17861,0.05222072,0.05786332,0.485,1.0
2,12347,18955,0.06629755,0.06959733,0.245,1.0
3,12348,18462,0.05820687,0.0633633,0.275,1.0
4,12349,18091,0.050591,0.05509221,0.4,1.0
5,12350,19129,0.04432712,0.04982407,0.09,1.0
6,12351,18699,0.05092064,0.05646779,0.085,1.0
7,12352,18755,0.04808678,0.0539154,0.145,1.0
8,12353,19180,0.0493415,0.05487513,0.135,1.0
9,12354,18855,0.05031424,0.05467026,0.34,1.0
