"policy","rho","seed","eval_seed","n_transitions","open_loop_mse","closed_loop_success","final_dist"
"mlp","0.0","0","12345","13000","0.119177","0.965","0.0528"
"trees","0.0","0","12345","13000","0.121047","0.995","0.0429"
"mlp","0.25","0","12345","13000","0.146096","0.97","0.049"
"trees","0.25","0","12345","13000","0.148523","0.99","0.0398"
"mlp","0.5","0","12345","13000","0.198008","0.97","0.0462"
"trees","0.5","0","12345","13000","0.174045","0.86","0.0578"
"mlp","0.75","0","12345","13000","0.244905","0.87","0.0507"
"trees","0.75","0","12345","13000","0.226348","0.815","0.0551"
"mlp","0.9","0","12345","13000","0.297973","0.395","0.0847"
"trees","0.9","0","12345","13000","0.273374","0.51","0.074"
"mlp","1.0","0","12345","13000","0.334419","0.135","0.1142"
"trees","1.0","0","12345","13000","0.325209","0.21","0.1025"
"mlp","0.0","1","12346","13000","0.118217","0.97","0.0503"
"trees","0.0","1","12346","13000","0.131553","0.995","0.0426"
"mlp","0.25","1","12346","13000","0.154366","0.95","0.058"
"trees","0.25","1","12346","13000","0.157467","0.99","0.042"
"mlp","0.5","1","12346","13000","0.195981","0.98","0.0426"
"trees","0.5","1","12346","13000","0.184139","0.865","0.0586"
"mlp","0.75","1","12346","13000","0.261014","0.64","0.059"
"trees","0.75","1","12346","13000","0.242274","0.8","0.0613"
"mlp","0.9","1","12346","13000","0.301207","0.3","0.0897"
"trees","0.9","1","12346","13000","0.288908","0.56","0.0752"
"mlp","1.0","1","12346","13000","0.339274","0.28","0.1124"
"trees","1.0","1","12346","13000","0.331697","0.275","0.1025"
"mlp","0.0","2","12347","13000","0.116964","0.985","0.0447"
"trees","0.0","2","12347","13000","0.131793","0.995","0.0439"
"mlp","0.25","2","12347","13000","0.158891","0.925","0.0633"
"trees","0.25","2","12347","13000","0.153423","0.97","0.0461"
"mlp","0.5","2","12347","13000","0.193021","0.99","0.043"
"trees","0.5","2","12347","13000","0.18121","0.915","0.052"
"mlp","0.75","2","12347","13000","0.247531","0.905","0.0473"
"trees","0.75","2","12347","13000","0.229259","0.77","0.0622"
"mlp","0.9","2","12347","13000","0.292185","0.495","0.062"
"trees","0.9","2","12347","13000","0.275512","0.7","0.065"
"mlp","1.0","2","12347","13000","0.345735","0.08","0.1354"
"trees","1.0","2","12347","13000","0.329988","0.26","0.1039"
"mlp","0.0","3","12348","13000","0.121157","0.945","0.0581"
"trees","0.0","3","12348","13000","0.129848","0.99","0.0455"
"mlp","0.25","3","12348","13000","0.152558","0.93","0.0625"
"trees","0.25","3","12348","13000","0.153122","0.98","0.0451"
"mlp","0.5","3","12348","13000","0.187235","0.98","0.0468"
"trees","0.5","3","12348","13000","0.181742","0.84","0.0562"
"mlp","0.75","3","12348","13000","0.251247","0.78","0.0556"
"trees","0.75","3","12348","13000","0.224676","0.77","0.064"
"mlp","0.9","3","12348","13000","0.293269","0.335","0.0804"
"trees","0.9","3","12348","13000","0.280361","0.51","0.0726"
"mlp","1.0","3","12348","13000","0.332851","0.24","0.0875"
"trees","1.0","3","12348","13000","0.334569","0.28","0.0999"
"mlp","0.0","4","12349","13000","0.122192","0.9","0.0735"
"trees","0.0","4","12349","13000","0.12504","1.0","0.04"
"mlp","0.25","4","12349","13000","0.160816","0.935","0.0607"
"trees","0.25","4","12349","13000","0.148134","0.98","0.0482"
"mlp","0.5","4","12349","13000","0.207787","0.945","0.0515"
"trees","0.5","4","12349","13000","0.17577","0.9","0.0526"
"mlp","0.75","4","12349","13000","0.248064","0.735","0.0628"
"trees","0.75","4","12349","13000","0.225322","0.81","0.0561"
"mlp","0.9","4","12349","13000","0.299044","0.625","0.0568"
"trees","0.9","4","12349","13000","0.273042","0.555","0.0668"
"mlp","1.0","4","12349","13000","0.346361","0.135","0.1231"
"trees","1.0","4","12349","13000","0.329431","0.225","0.103"
"mlp","0.0","5","12350","13000","0.115681","0.94","0.0594"
"trees","0.0","5","12350","13000","0.120496","1.0","0.0399"
"mlp","0.25","5","12350","13000","0.148464","0.995","0.0422"
"trees","0.25","5","12350","13000","0.144796","0.99","0.0417"
"mlp","0.5","5","12350","13000","0.190414","0.935","0.0595"
"trees","0.5","5","12350","13000","0.173796","0.925","0.05"
"mlp","0.75","5","12350","13000","0.247003","0.65","0.0585"
"trees","0.75","5","12350","13000","0.224376","0.85","0.0515"
"mlp","0.9","5","12350","13000","0.297081","0.55","0.0758"
"trees","0.9","5","12350","13000","0.276888","0.66","0.0663"
"mlp","1.0","5","12350","13000","0.330338","0.1","0.1331"
"trees","1.0","5","12350","13000","0.333142","0.205","0.1177"
"mlp","0.0","6","12351","13000","0.112497","0.965","0.0522"
"trees","0.0","6","12351","13000","0.12026","1.0","0.0394"
"mlp","0.25","6","12351","13000","0.155103","0.97","0.0515"
"trees","0.25","6","12351","13000","0.142539","0.975","0.0453"
"mlp","0.5","6","12351","13000","0.182985","0.985","0.0434"
"trees","0.5","6","12351","13000","0.170685","0.905","0.0553"
"mlp","0.75","6","12351","13000","0.249116","0.805","0.0537"
"trees","0.75","6","12351","13000","0.220494","0.76","0.0613"
"mlp","0.9","6","12351","13000","0.292678","0.38","0.0916"
"trees","0.9","6","12351","13000","0.279024","0.52","0.0704"
"mlp","1.0","6","12351","13000","0.331108","0.23","0.1029"
"trees","1.0","6","12351","13000","0.327401","0.285","0.1056"
"mlp","0.0","7","12352","13000","0.119405","0.955","0.055"
"trees","0.0","7","12352","13000","0.1169","0.99","0.0472"
"mlp","0.25","7","12352","13000","0.152695","0.99","0.0441"
"trees","0.25","7","12352","13000","0.143474","0.98","0.0427"
"mlp","0.5","7","12352","13000","0.188486","0.95","0.0514"
"trees","0.5","7","12352","13000","0.175535","0.915","0.0564"
"mlp","0.75","7","12352","13000","0.252024","0.755","0.0587"
"trees","0.75","7","12352","13000","0.226033","0.85","0.0502"
"mlp","0.9","7","12352","13000","0.287927","0.155","0.0957"
"trees","0.9","7","12352","13000","0.279041","0.5","0.0683"
"mlp","1.0","7","12352","13000","0.329929","0.045","0.1519"
"trees","1.0","7","12352","13000","0.331146","0.145","0.1096"
"mlp","0.0","8","12353","13000","0.118701","0.99","0.0433"
"trees","0.0","8","12353","13000","0.126721","1.0","0.0401"
"mlp","0.25","8","12353","13000","0.155504","0.98","0.0456"
"trees","0.25","8","12353","13000","0.154188","0.995","0.0416"
"mlp","0.5","8","12353","13000","0.201639","0.985","0.0465"
"trees","0.5","8","12353","13000","0.186677","0.915","0.0558"
"mlp","0.75","8","12353","13000","0.263964","0.445","0.0765"
"trees","0.75","8","12353","13000","0.229731","0.8","0.0558"
"mlp","0.9","8","12353","13000","0.297669","0.33","0.0793"
"trees","0.9","8","12353","13000","0.281364","0.5","0.072"
"mlp","1.0","8","12353","13000","0.338084","0.0","0.1481"
"trees","1.0","8","12353","13000","0.328175","0.185","0.1224"
"mlp","0.0","9","12354","13000","0.117835","0.9","0.0737"
"trees","0.0","9","12354","13000","0.127501","0.99","0.0476"
"mlp","0.25","9","12354","13000","0.147724","0.975","0.0487"
"trees","0.25","9","12354","13000","0.151129","0.99","0.0415"
"mlp","0.5","9","12354","13000","0.198896","0.94","0.0569"
"trees","0.5","9","12354","13000","0.186221","0.84","0.064"
"mlp","0.75","9","12354","13000","0.247674","0.82","0.0511"
"trees","0.75","9","12354","13000","0.228823","0.745","0.0589"
"mlp","0.9","9","12354","13000","0.308816","0.29","0.1201"
"trees","0.9","9","12354","13000","0.278951","0.61","0.0618"
"mlp","1.0","9","12354","13000","0.340289","0.16","0.1055"
"trees","1.0","9","12354","13000","0.32268","0.195","0.0993"
