corruption,seed,n_transitions,label_fidelity_mse
clean,0,12526,0.0
clean,1,12174,0.0
clean,2,11972,0.0
clean,3,12227,0.0
clean,4,12094,0.0
clean,5,12156,0.0
clean,6,12474,0.0
clean,7,12244,0.0
clean,8,12130,0.0
clean,9,12070,0.0
occlusion,0,11878,0.21965321
occlusion,1,12331,0.20488671
occlusion,2,12034,0.21153315
occlusion,3,12138,0.22470705
occlusion,4,12140,0.21059864
occlusion,5,12104,0.21358414
occlusion,6,11902,0.22079389
occlusion,7,12413,0.20868564
occlusion,8,12381,0.20759188
occlusion,9,11923,0.20242832
accidental_success,0,5957,0.20369419
accidental_success,1,6129,0.21500599
accidental_success,2,6089,0.2081731
accidental_success,3,6147,0.20039797
accidental_success,4,6076,0.21427868
accidental_success,5,6155,0.20602109
accidental_success,6,6100,0.21507248
accidental_success,7,6253,0.19980771
accidental_success,8,6195,0.20024695
accidental_success,9,6094,0.20518665
flailing,0,13632,0.06764837
flailing,1,13560,0.06565638
flailing,2,13470,0.06548327
flailing,3,13733,0.06698227
flailing,4,13768,0.06502537
flailing,5,13552,0.06540565
flailing,6,13672,0.06501856
flailing,7,13723,0.06493777
flailing,8,13391,0.06616291
flailing,9,13565,0.06626941
truncation,0,8525,0.0
truncation,1,8437,0.0
truncation,2,8305,0.0
truncation,3,8456,0.0
truncation,4,8190,0.0
truncation,5,8251,0.0
truncation,6,8420,0.0
truncation,7,8506,0.0
truncation,8,8205,0.0
truncation,9,8301,0.0
inconsistent_strategy,0,18669,0.47920487
inconsistent_strategy,1,17861,0.46368298
inconsistent_strategy,2,18955,0.4882191
inconsistent_strategy,3,18462,0.46803402
inconsistent_strategy,4,18091,0.46118526
inconsistent_strategy,5,19129,0.47888325
inconsistent_strategy,6,18699,0.47634953
inconsistent_strategy,7,18755,0.47133451
inconsistent_strategy,8,19180,0.48267515
inconsistent_strategy,9,18855,0.48106004
