seed,distribution,phase,n_states,mse
0,on_policy,approach_outer,1432,0.0374461
0,on_policy,orbit,16976,0.05326268
0,on_policy,approach_stage,1358,0.06049658
0,on_policy,push,1724,0.04288508
0,heldout_expert,approach_outer,2100,0.03995952
0,heldout_expert,orbit,8344,0.05125611
0,heldout_expert,approach_stage,1072,0.0743067
0,heldout_expert,push,2471,0.05861584
1,on_policy,approach_outer,1640,0.04427932
1,on_policy,orbit,12930,0.10024361
1,on_policy,approach_stage,1038,0.07035564
1,on_policy,push,1452,0.04351217
1,heldout_expert,approach_outer,2100,0.04395726
1,heldout_expert,orbit,8344,0.06074758
1,heldout_expert,approach_stage,1072,0.07452241
1,heldout_expert,push,2471,0.05271474
2,on_policy,approach_outer,1494,0.03899394
2,on_policy,orbit,15790,0.20379914
2,on_policy,approach_stage,740,0.06428844
2,on_policy,push,1105,0.07451773
2,heldout_expert,approach_outer,2100,0.04222365
2,heldout_expert,orbit,8344,0.07124685
2,heldout_expert,approach_stage,1072,0.08741473
2,heldout_expert,push,2471,0.07956129
3,on_policy,approach_outer,1560,0.05065625
3,on_policy,orbit,14811,0.08361546
3,on_policy,approach_stage,991,0.08039621
3,on_policy,push,1397,0.05111128
3,heldout_expert,approach_outer,2100,0.05354981
3,heldout_expert,orbit,8344,0.06065424
3,heldout_expert,approach_stage,1072,0.0942196
3,heldout_expert,push,2471,0.06746477
4,on_policy,approach_outer,1450,0.03758902
4,on_policy,orbit,13411,0.09953556
4,on_policy,approach_stage,1021,0.07511096
4,on_policy,push,1587,0.05217352
4,heldout_expert,approach_outer,2100,0.0402105
4,heldout_expert,orbit,8344,0.05816724
4,heldout_expert,approach_stage,1072,0.07218812
4,heldout_expert,push,2471,0.04993913
5,on_policy,approach_outer,1481,0.0415115
5,on_policy,orbit,17229,0.06107035
5,on_policy,approach_stage,1207,0.05531152
5,on_policy,push,1673,0.03934318
5,heldout_expert,approach_outer,2100,0.03931706
5,heldout_expert,orbit,8344,0.04905182
5,heldout_expert,approach_stage,1072,0.06640285
5,heldout_expert,push,2471,0.05416885
6,on_policy,approach_outer,1505,0.04167092
6,on_policy,orbit,17064,0.06336708
6,on_policy,approach_stage,1405,0.06474732
6,on_policy,push,1639,0.04316545
6,heldout_expert,approach_outer,2100,0.04462663
6,heldout_expert,orbit,8344,0.05267284
6,heldout_expert,approach_stage,1072,0.08231761
6,heldout_expert,push,2471,0.06813128
7,on_policy,approach_outer,1480,0.04250468
7,on_policy,orbit,16325,0.07284172
7,on_policy,approach_stage,1405,0.07248638
7,on_policy,push,1617,0.04186815
7,heldout_expert,approach_outer,2100,0.04466405
7,heldout_expert,orbit,8344,0.05325438
7,heldout_expert,approach_stage,1072,0.07758825
7,heldout_expert,push,2471,0.05373981
8,on_policy,approach_outer,1441,0.05232471
8,on_policy,orbit,16785,0.06589851
8,on_policy,approach_stage,1353,0.0670734
8,on_policy,push,1617,0.04164122
8,heldout_expert,approach_outer,2100,0.05242928
8,heldout_expert,orbit,8344,0.05373818
8,heldout_expert,approach_stage,1072,0.07731949
8,heldout_expert,push,2471,0.05105586
9,on_policy,approach_outer,1531,0.04122227
9,on_policy,orbit,14250,0.08135721
9,on_policy,approach_stage,1095,0.07072862
9,on_policy,push,1497,0.05206513
9,heldout_expert,approach_outer,2100,0.04392486
9,heldout_expert,orbit,8344,0.05216763
9,heldout_expert,approach_stage,1072,0.08357292
9,heldout_expert,push,2471,0.05971426
