"policy","corruption","rho","seed","eval_seed","n_transitions","open_loop_mse","closed_loop_success","final_dist","wrong_side_rate"
"mlp","clean","0.0","0","12345","12526","0.122962","0.965","0.0534","0.015"
"mlp","occlusion","0.25","0","12345","12251","0.133568","0.95","0.0577","0.02"
"mlp","occlusion","0.5","0","12345","12194","0.15302","0.94","0.0617","0.025"
"mlp","occlusion","0.75","0","12345","11967","0.166851","0.93","0.0657","0.02"
"mlp","occlusion","0.9","0","12345","11898","0.182661","0.885","0.0802","0.05"
"mlp","occlusion","1.0","0","12345","11878","0.195946","0.89","0.082","0.055"
"mlp","accidental_success","0.25","0","12345","10822","0.14187","0.975","0.0471","0.005"
"mlp","accidental_success","0.5","0","12345","9121","0.171477","0.985","0.043","0.01"
"mlp","accidental_success","0.75","0","12345","7611","0.216548","0.95","0.0487","0.02"
"mlp","accidental_success","0.9","0","12345","6588","0.299975","0.855","0.0998","0.105"
"mlp","accidental_success","1.0","0","12345","5957","0.456999","0.02","0.3347","0.365"
"mlp","flailing","0.25","0","12345","12886","0.12698","0.995","0.0407","0.005"
"mlp","flailing","0.5","0","12345","13080","0.128187","0.955","0.0553","0.01"
"mlp","flailing","0.75","0","12345","13316","0.146239","0.985","0.0451","0.01"
"mlp","flailing","0.9","0","12345","13301","0.134917","0.97","0.052","0.02"
"mlp","flailing","1.0","0","12345","13632","0.132406","0.985","0.0453","0.01"
"mlp","truncation","0.25","0","12345","11337","0.127205","0.99","0.0427","0.0"
"mlp","truncation","0.5","0","12345","10233","0.134898","0.96","0.051","0.005"
"mlp","truncation","0.75","0","12345","9353","0.14227","0.955","0.0559","0.015"
"mlp","truncation","0.9","0","12345","8666","0.144157","0.94","0.0618","0.01"
"mlp","truncation","1.0","0","12345","8525","0.143551","0.995","0.0411","0.0"
"mlp","inconsistent_strategy","0.25","0","12345","13834","0.175127","0.965","0.0518","0.0"
"mlp","inconsistent_strategy","0.5","0","12345","15412","0.208689","0.895","0.0506","0.0"
"mlp","inconsistent_strategy","0.75","0","12345","16992","0.245812","0.63","0.0599","0.0"
"mlp","inconsistent_strategy","0.9","0","12345","17293","0.280516","0.43","0.0879","0.0"
"mlp","inconsistent_strategy","1.0","0","12345","18669","0.316064","0.095","0.1066","0.0"
"mlp","clean","0.0","1","12346","12174","0.120638","0.975","0.0483","0.005"
"mlp","occlusion","0.25","1","12346","12252","0.137265","0.95","0.0577","0.0"
"mlp","occlusion","0.5","1","12346","12092","0.173631","0.83","0.0987","0.015"
"mlp","occlusion","0.75","1","12346","12007","0.176168","0.895","0.0783","0.025"
"mlp","occlusion","0.9","1","12346","12089","0.183907","0.905","0.0738","0.025"
"mlp","occlusion","1.0","1","12346","12331","0.207092","0.765","0.1051","0.03"
"mlp","accidental_success","0.25","1","12346","10713","0.13661","0.965","0.0517","0.0"
"mlp","accidental_success","0.5","1","12346","9021","0.174672","0.93","0.061","0.0"
"mlp","accidental_success","0.75","1","12346","7374","0.233321","0.77","0.1167","0.075"
"mlp","accidental_success","0.9","1","12346","6570","0.313429","0.655","0.1605","0.23"
"mlp","accidental_success","1.0","1","12346","6129","0.455435","0.0","0.3775","0.585"
"mlp","flailing","0.25","1","12346","12763","0.128999","0.985","0.0453","0.005"
"mlp","flailing","0.5","1","12346","12880","0.129487","0.95","0.0554","0.0"
"mlp","flailing","0.75","1","12346","13061","0.152338","0.94","0.0599","0.0"
"mlp","flailing","0.9","1","12346","13163","0.131733","0.96","0.0533","0.0"
"mlp","flailing","1.0","1","12346","13560","0.135031","0.98","0.0477","0.0"
