"policy","corruption","rho","seed","eval_seed","n_transitions","open_loop_mse","closed_loop_success","final_dist","wrong_side_rate"
"trees","clean","0.0","0","12345","12526","0.125083","0.99","0.0467","0.01"
"trees","occlusion","0.25","0","12345","12251","0.130603","0.995","0.0406","0.0"
"trees","occlusion","0.5","0","12345","12194","0.136237","0.99","0.0459","0.01"
"trees","occlusion","0.75","0","12345","11967","0.139482","1.0","0.0398","0.0"
"trees","occlusion","0.9","0","12345","11898","0.149299","0.99","0.0448","0.01"
"trees","occlusion","1.0","0","12345","11878","0.153326","0.99","0.0439","0.005"
"trees","accidental_success","0.25","0","12345","10822","0.1531","0.995","0.0425","0.005"
"trees","accidental_success","0.5","0","12345","9121","0.195993","0.96","0.0467","0.01"
"trees","accidental_success","0.75","0","12345","7611","0.290121","0.47","0.2134","0.26"
"trees","accidental_success","0.9","0","12345","6588","0.407487","0.08","0.3144","0.245"
"trees","accidental_success","1.0","0","12345","5957","0.652618","0.0","0.3077","0.0"
"trees","flailing","0.25","0","12345","12886","0.124494","0.995","0.0398","0.0"
"trees","flailing","0.5","0","12345","13080","0.127735","0.995","0.0428","0.005"
"trees","flailing","0.75","0","12345","13316","0.127977","0.99","0.0437","0.005"
"trees","flailing","0.9","0","12345","13301","0.134609","0.985","0.0426","0.005"
"trees","flailing","1.0","0","12345","13632","0.131897","1.0","0.0409","0.0"
"trees","truncation","0.25","0","12345","11337","0.127764","1.0","0.0401","0.0"
"trees","truncation","0.5","0","12345","10233","0.134568","0.99","0.0454","0.005"
"trees","truncation","0.75","0","12345","9353","0.140027","0.97","0.0513","0.01"
"trees","truncation","0.9","0","12345","8666","0.153255","0.93","0.0549","0.015"
"trees","truncation","1.0","0","12345","8525","0.153797","0.615","0.0717","0.01"
"trees","inconsistent_strategy","0.25","0","12345","13834","0.152208","0.98","0.0439","0.005"
"trees","inconsistent_strategy","0.5","0","12345","15412","0.196981","0.875","0.0578","0.0"
"trees","inconsistent_strategy","0.75","0","12345","16992","0.248983","0.66","0.065","0.005"
"trees","inconsistent_strategy","0.9","0","12345","17293","0.282674","0.42","0.0789","0.0"
"trees","inconsistent_strategy","1.0","0","12345","18669","0.319899","0.105","0.1245","0.0"
"trees","clean","0.0","1","12346","12174","0.124503","0.99","0.0462","0.01"
"trees","occlusion","0.25","1","12346","12252","0.13528","0.995","0.0442","0.005"
"trees","occlusion","0.5","1","12346","12092","0.143325","0.995","0.0434","0.005"
"trees","occlusion","0.75","1","12346","12007","0.144177","0.98","0.0473","0.015"
"trees","occlusion","0.9","1","12346","12089","0.152041","0.995","0.043","0.005"
"trees","occlusion","1.0","1","12346","12331","0.152001","0.985","0.0463","0.01"
"trees","accidental_success","0.25","1","12346","10713","0.151778","0.98","0.0476","0.015"
"trees","accidental_success","0.5","1","12346","9021","0.197603","0.92","0.0724","0.05"
"trees","accidental_success","0.75","1","12346","7374","0.281098","0.485","0.2228","0.295"
"trees","accidental_success","0.9","1","12346","6570","0.403008","0.045","0.306","0.14"
"trees","accidental_success","1.0","1","12346","6129","0.66435","0.0","0.3025","0.0"
"trees","flailing","0.25","1","12346","12763","0.130278","0.99","0.0427","0.005"
"trees","flailing","0.5","1","12346","12880","0.138672","0.98","0.043","0.0"
"trees","flailing","0.75","1","12346","13061","0.133807","0.985","0.0445","0.005"
"trees","flailing","0.9","1","12346","13163","0.137552","0.985","0.0434","0.005"
"trees","flailing","1.0","1","12346","13560","0.138211","1.0","0.0412","0.0"
"trees","truncation","0.25","1","12346","11230","0.137029","0.99","0.0439","0.005"
"trees","truncation","0.5","1","12346","10087","0.141911","1.0","0.0414","0.0"
"trees","truncation","0.75","1","12346","9116","0.143655","0.99","0.045","0.005"
"trees","truncation","0.9","1","12346","8669","0.150763","0.91","0.0493","0.0"
"trees","truncation","1.0","1","12346","8437","0.161486","0.625","0.0699","0.01"
"trees","inconsistent_strategy","0.25","1","12346","13784","0.166894","0.925","0.056","0.015"
"trees","inconsistent_strategy","0.5","1","12346","15170","0.200641","0.88","0.06","0.01"
"trees","inconsistent_strategy","0.75","1","12346","16867","0.254787","0.63","0.0654","0.0"
"trees","inconsistent_strategy","0.9","1","12346","17806","0.293204","0.42","0.0827","0.0"
"trees","inconsistent_strategy","1.0","1","12346","17861","0.320835","0.265","0.0972","0.0"
"trees","clean","0.0","2","12347","11972","0.133121","1.0","0.0409","0.0"
"trees","occlusion","0.25","2","12347","11970","0.1354","0.99","0.0443","0.005"
"trees","occlusion","0.5","2","12347","12153","0.141164","0.985","0.0475","0.01"
"trees","occlusion","0.75","2","12347","12063","0.149676","0.99","0.0478","0.01"
"trees","occlusion","0.9","2","12347","12195","0.150746","0.995","0.0437","0.005"
"trees","occlusion","1.0","2","12347","12034","0.151939","1.0","0.042","0.0"
"trees","accidental_success","0.25","2","12347","10560","0.15782","0.955","0.0533","0.02"
"trees","accidental_success","0.5","2","12347","9133","0.201965","0.905","0.0694","0.055"
"trees","accidental_success","0.75","2","12347","7572","0.277225","0.435","0.2568","0.375"
"trees","accidental_success","0.9","2","12347","6568","0.389061","0.065","0.31","0.215"
"trees","accidental_success","1.0","2","12347","6089","0.654059","0.0","0.3118","0.0"
"trees","flailing","0.25","2","12347","12459","0.134489","1.0","0.041","0.0"
"trees","flailing","0.5","2","12347","13023","0.138963","0.995","0.0453","0.005"
"trees","flailing","0.75","2","12347","13374","0.132369","0.995","0.0436","0.005"
"trees","flailing","0.9","2","12347","13549","0.132319","1.0","0.0405","0.0"
"trees","flailing","1.0","2","12347","13470","0.140909","0.97","0.0572","0.02"
"trees","truncation","0.25","2","12347","11080","0.131929","1.0","0.0409","0.0"
"trees","truncation","0.5","2","12347","10290","0.137547","0.99","0.0429","0.0"
"trees","truncation","0.75","2","12347","9372","0.144774","0.97","0.0467","0.005"
"trees","truncation","0.9","2","12347","8802","0.151424","0.945","0.0456","0.0"
"trees","truncation","1.0","2","12347","8305","0.166024","0.565","0.0682","0.005"
"trees","inconsistent_strategy","0.25","2","12347","13614","0.155579","0.975","0.0439","0.0"
"trees","inconsistent_strategy","0.5","2","12347","15397","0.202695","0.885","0.0563","0.005"
"trees","inconsistent_strategy","0.75","2","12347","16931","0.247093","0.57","0.0696","0.0"
"trees","inconsistent_strategy","0.9","2","12347","17816","0.294361","0.325","0.0842","0.0"
"trees","inconsistent_strategy","1.0","2","12347","18955","0.325696","0.125","0.112","0.005"
"trees","occlusion","0.0","0","12345","12526","0.125083","0.99","0.0467","0.01"
"trees","accidental_success","0.0","0","12345","12526","0.125083","0.99","0.0467","0.01"
"trees","flailing","0.0","0","12345","12526","0.125083","0.99","0.0467","0.01"
"trees","truncation","0.0","0","12345","12526","0.125083","0.99","0.0467","0.01"
"trees","inconsistent_strategy","0.0","0","12345","12526","0.125083","0.99","0.0467","0.01"
"trees","occlusion","0.0","1","12346","12174","0.124503","0.99","0.0462","0.01"
"trees","accidental_success","0.0","1","12346","12174","0.124503","0.99","0.0462","0.01"
"trees","flailing","0.0","1","12346","12174","0.124503","0.99","0.0462","0.01"
"trees","truncation","0.0","1","12346","12174","0.124503","0.99","0.0462","0.01"
"trees","inconsistent_strategy","0.0","1","12346","12174","0.124503","0.99","0.0462","0.01"
"trees","occlusion","0.0","2","12347","11972","0.133121","1.0","0.0409","0.0"
"trees","accidental_success","0.0","2","12347","11972","0.133121","1.0","0.0409","0.0"
"trees","flailing","0.0","2","12347","11972","0.133121","1.0","0.0409","0.0"
"trees","truncation","0.0","2","12347","11972","0.133121","1.0","0.0409","0.0"
"trees","inconsistent_strategy","0.0","2","12347","11972","0.133121","1.0","0.0409","0.0"
"trees","clean","0.0","3","12348","12227","0.126594","0.995","0.0434","0.005"
"trees","occlusion","0.25","3","12348","12408","0.134564","0.995","0.044","0.005"
"trees","occlusion","0.5","3","12348","12178","0.138906","0.995","0.0446","0.005"
"trees","occlusion","0.75","3","12348","11996","0.143297","0.99","0.0411","0.0"
"trees","occlusion","0.9","3","12348","11859","0.151541","0.99","0.0446","0.005"
"trees","occlusion","1.0","3","12348","12138","0.158122","0.995","0.0415","0.0"
"trees","accidental_success","0.25","3","12348","10794","0.155235","0.96","0.0512","0.02"
"trees","accidental_success","0.5","3","12348","9017","0.193292","0.85","0.0799","0.06"
"trees","accidental_success","0.75","3","12348","7636","0.273705","0.37","0.2572","0.31"
"trees","accidental_success","0.9","3","12348","6649","0.409548","0.045","0.316","0.165"
"trees","accidental_success","1.0","3","12348","6147","0.678355","0.0","0.3135","0.0"
"trees","flailing","0.25","3","12348","12578","0.131903","0.99","0.0458","0.01"
"trees","flailing","0.5","3","12348","12731","0.127592","0.99","0.045","0.005"
"trees","flailing","0.75","3","12348","13436","0.13371","0.995","0.0445","0.005"
"trees","flailing","0.9","3","12348","13394","0.137281","0.995","0.0429","0.005"
"trees","flailing","1.0","3","12348","13733","0.137822","0.99","0.0453","0.01"
"trees","truncation","0.25","3","12348","11310","0.131","0.975","0.0461","0.005"
"trees","truncation","0.5","3","12348","10187","0.135386","1.0","0.0408","0.0"
"trees","truncation","0.75","3","12348","9328","0.143158","0.97","0.0442","0.0"
"trees","truncation","0.9","3","12348","8578","0.151145","0.905","0.0577","0.01"
"trees","truncation","1.0","3","12348","8456","0.156281","0.565","0.0758","0.01"
"trees","inconsistent_strategy","0.25","3","12348","13793","0.159028","0.94","0.0507","0.01"
"trees","inconsistent_strategy","0.5","3","12348","15252","0.202508","0.84","0.0612","0.01"
"trees","inconsistent_strategy","0.75","3","12348","17335","0.243269","0.67","0.0635","0.01"
"trees","inconsistent_strategy","0.9","3","12348","18110","0.281879","0.34","0.0852","0.005"
"trees","inconsistent_strategy","1.0","3","12348","18462","0.326698","0.245","0.1012","0.0"
"trees","clean","0.0","4","12349","12094","0.123204","1.0","0.0409","0.0"
"trees","occlusion","0.25","4","12349","12086","0.129641","1.0","0.0402","0.0"
"trees","occlusion","0.5","4","12349","12247","0.136496","0.995","0.0396","0.0"
"trees","occlusion","0.75","4","12349","12262","0.147794","0.995","0.0438","0.005"
"trees","occlusion","0.9","4","12349","11982","0.152015","0.995","0.0453","0.005"
"trees","occlusion","1.0","4","12349","12140","0.151075","0.995","0.0438","0.005"
"trees","accidental_success","0.25","4","12349","10526","0.152704","0.995","0.0402","0.0"
"trees","accidental_success","0.5","4","12349","9116","0.20201","0.89","0.0783","0.07"
"trees","accidental_success","0.75","4","12349","7490","0.281583","0.37","0.2729","0.365"
"trees","accidental_success","0.9","4","12349","6692","0.403723","0.045","0.3365","0.235"
"trees","accidental_success","1.0","4","12349","6076","0.663505","0.0","0.3163","0.0"
"trees","flailing","0.25","4","12349","12507","0.124845","0.995","0.043","0.005"
"trees","flailing","0.5","4","12349","12904","0.132425","0.995","0.0447","0.005"
"trees","flailing","0.75","4","12349","13141","0.134278","0.985","0.0425","0.005"
"trees","flailing","0.9","4","12349","13301","0.130211","0.995","0.0438","0.005"
"trees","flailing","1.0","4","12349","13768","0.136375","0.985","0.0474","0.01"
"trees","truncation","0.25","4","12349","11204","0.126675","0.99","0.0455","0.01"
"trees","truncation","0.5","4","12349","10322","0.13619","0.985","0.046","0.005"
"trees","truncation","0.75","4","12349","9375","0.142011","0.965","0.048","0.005"
"trees","truncation","0.9","4","12349","8672","0.146995","0.93","0.0518","0.01"
"trees","truncation","1.0","4","12349","8190","0.149931","0.655","0.0659","0.0"
"trees","inconsistent_strategy","0.25","4","12349","13882","0.160244","0.94","0.0465","0.005"
"trees","inconsistent_strategy","0.5","4","12349","15682","0.197533","0.855","0.0587","0.005"
"trees","inconsistent_strategy","0.75","4","12349","17063","0.245631","0.63","0.0707","0.0"
"trees","inconsistent_strategy","0.9","4","12349","17540","0.288229","0.295","0.0943","0.0"
"trees","inconsistent_strategy","1.0","4","12349","18091","0.318794","0.19","0.1147","0.0"
"trees","clean","0.0","5","12350","12156","0.127026","1.0","0.0397","0.0"
"trees","occlusion","0.25","5","12350","11964","0.13502","1.0","0.041","0.0"
"trees","occlusion","0.5","5","12350","12129","0.139833","1.0","0.0404","0.0"
"trees","occlusion","0.75","5","12350","12171","0.142557","0.995","0.0401","0.0"
"trees","occlusion","0.9","5","12350","11979","0.148718","0.995","0.0441","0.005"
"trees","occlusion","1.0","5","12350","12104","0.151463","0.975","0.051","0.015"
"trees","accidental_success","0.25","5","12350","10376","0.151916","0.99","0.0461","0.01"
"trees","accidental_success","0.5","5","12350","9088","0.197147","0.92","0.0796","0.065"
"trees","accidental_success","0.75","5","12350","7567","0.273398","0.565","0.2152","0.3"
"trees","accidental_success","0.9","5","12350","6739","0.403198","0.045","0.3217","0.23"
"trees","accidental_success","1.0","5","12350","6155","0.649706","0.0","0.3144","0.0"
"trees","flailing","0.25","5","12350","12341","0.127902","1.0","0.0396","0.0"
"trees","flailing","0.5","5","12350","12923","0.128524","1.0","0.0408","0.0"
"trees","flailing","0.75","5","12350","13194","0.132349","0.995","0.0434","0.005"
"trees","flailing","0.9","5","12350","13451","0.130704","1.0","0.0411","0.0"
"trees","flailing","1.0","5","12350","13552","0.134408","1.0","0.0413","0.0"
"trees","truncation","0.25","5","12350","11040","0.131739","0.995","0.0414","0.0"
"trees","truncation","0.5","5","12350","10246","0.13485","0.995","0.0414","0.0"
"trees","truncation","0.75","5","12350","9394","0.142014","0.98","0.0433","0.0"
"trees","truncation","0.9","5","12350","8553","0.149051","0.905","0.049","0.005"
"trees","truncation","1.0","5","12350","8251","0.157053","0.65","0.0643","0.0"
"trees","inconsistent_strategy","0.25","5","12350","13391","0.157662","0.97","0.0441","0.0"
"trees","inconsistent_strategy","0.5","5","12350","15342","0.196667","0.815","0.0647","0.005"
"trees","inconsistent_strategy","0.75","5","12350","17136","0.248294","0.585","0.0673","0.0"
"trees","inconsistent_strategy","0.9","5","12350","17708","0.287877","0.3","0.0934","0.0"
"trees","inconsistent_strategy","1.0","5","12350","19129","0.320403","0.09","0.1328","0.0"
"trees","occlusion","0.0","3","12348","12227","0.126594","0.995","0.0434","0.005"
"trees","accidental_success","0.0","3","12348","12227","0.126594","0.995","0.0434","0.005"
"trees","flailing","0.0","3","12348","12227","0.126594","0.995","0.0434","0.005"
"trees","truncation","0.0","3","12348","12227","0.126594","0.995","0.0434","0.005"
"trees","inconsistent_strategy","0.0","3","12348","12227","0.126594","0.995","0.0434","0.005"
"trees","occlusion","0.0","4","12349","12094","0.123204","1.0","0.0409","0.0"
"trees","accidental_success","0.0","4","12349","12094","0.123204","1.0","0.0409","0.0"
"trees","flailing","0.0","4","12349","12094","0.123204","1.0","0.0409","0.0"
"trees","truncation","0.0","4","12349","12094","0.123204","1.0","0.0409","0.0"
"trees","inconsistent_strategy","0.0","4","12349","12094","0.123204","1.0","0.0409","0.0"
"trees","occlusion","0.0","5","12350","12156","0.127026","1.0","0.0397","0.0"
"trees","accidental_success","0.0","5","12350","12156","0.127026","1.0","0.0397","0.0"
"trees","flailing","0.0","5","12350","12156","0.127026","1.0","0.0397","0.0"
"trees","truncation","0.0","5","12350","12156","0.127026","1.0","0.0397","0.0"
"trees","inconsistent_strategy","0.0","5","12350","12156","0.127026","1.0","0.0397","0.0"
"trees","clean","0.0","6","12351","12474","0.122049","1.0","0.04","0.0"
"trees","occlusion","0.25","6","12351","12010","0.134947","0.99","0.0463","0.01"
"trees","occlusion","0.5","6","12351","12306","0.137707","1.0","0.0402","0.0"
"trees","occlusion","0.75","6","12351","12346","0.143591","1.0","0.0404","0.0"
"trees","occlusion","0.9","6","12351","12320","0.143608","0.99","0.0445","0.005"
"trees","occlusion","1.0","6","12351","11902","0.1512","0.995","0.043","0.005"
"trees","accidental_success","0.25","6","12351","10521","0.159395","0.985","0.0459","0.005"
"trees","accidental_success","0.5","6","12351","9259","0.192978","0.89","0.0736","0.06"
"trees","accidental_success","0.75","6","12351","7445","0.287001","0.475","0.2086","0.245"
"trees","accidental_success","0.9","6","12351","6633","0.387326","0.09","0.3089","0.195"
"trees","accidental_success","1.0","6","12351","6100","0.636196","0.0","0.3183","0.0"
"trees","flailing","0.25","6","12351","12318","0.12777","1.0","0.0415","0.0"
"trees","flailing","0.5","6","12351","12808","0.128877","1.0","0.0414","0.0"
"trees","flailing","0.75","6","12351","13248","0.129181","0.99","0.0444","0.005"
"trees","flailing","0.9","6","12351","13380","0.128139","1.0","0.0407","0.0"
"trees","flailing","1.0","6","12351","13672","0.135763","1.0","0.0393","0.0"
"trees","truncation","0.25","6","12351","11048","0.13426","0.99","0.0473","0.01"
"trees","truncation","0.5","6","12351","10286","0.134803","1.0","0.0422","0.0"
"trees","truncation","0.75","6","12351","9339","0.139128","0.985","0.044","0.0"
"trees","truncation","0.9","6","12351","9010","0.145908","0.905","0.0505","0.0"
"trees","truncation","1.0","6","12351","8420","0.151701","0.665","0.0643","0.0"
"trees","inconsistent_strategy","0.25","6","12351","13594","0.160077","0.96","0.0494","0.01"
"trees","inconsistent_strategy","0.5","6","12351","15532","0.190442","0.835","0.0618","0.015"
"trees","inconsistent_strategy","0.75","6","12351","17047","0.239489","0.585","0.07","0.0"
"trees","inconsistent_strategy","0.9","6","12351","17828","0.281246","0.405","0.0817","0.0"
"trees","inconsistent_strategy","1.0","6","12351","18699","0.323031","0.07","0.1316","0.0"
"trees","clean","0.0","7","12352","12244","0.126834","0.995","0.0439","0.005"
"trees","occlusion","0.25","7","12352","12299","0.129758","0.995","0.0439","0.005"
"trees","occlusion","0.5","7","12352","12026","0.137469","0.985","0.0513","0.015"
"trees","occlusion","0.75","7","12352","12198","0.149236","1.0","0.0405","0.0"
"trees","occlusion","0.9","7","12352","12132","0.151531","0.99","0.0444","0.005"
"trees","occlusion","1.0","7","12352","12413","0.153393","0.98","0.0555","0.02"
"trees","accidental_success","0.25","7","12352","10796","0.149991","0.995","0.0397","0.0"
"trees","accidental_success","0.5","7","12352","9184","0.200147","0.905","0.0751","0.065"
"trees","accidental_success","0.75","7","12352","7579","0.266745","0.505","0.2221","0.3"
"trees","accidental_success","0.9","7","12352","6690","0.40257","0.065","0.3057","0.185"
"trees","accidental_success","1.0","7","12352","6253","0.63186","0.01","0.3091","0.0"
"trees","flailing","0.25","7","12352","12656","0.12735","1.0","0.0401","0.0"
"trees","flailing","0.5","7","12352","12885","0.128877","0.98","0.0526","0.02"
"trees","flailing","0.75","7","12352","13446","0.132235","0.995","0.0437","0.005"
"trees","flailing","0.9","7","12352","13625","0.129925","0.985","0.0518","0.015"
"trees","flailing","1.0","7","12352","13723","0.129412","0.995","0.0438","0.005"
"trees","truncation","0.25","7","12352","11479","0.128753","0.995","0.0442","0.005"
"trees","truncation","0.5","7","12352","10174","0.13439","0.975","0.0504","0.01"
"trees","truncation","0.75","7","12352","9159","0.140547","0.98","0.0457","0.005"
"trees","truncation","0.9","7","12352","8708","0.146575","0.92","0.0518","0.01"
"trees","truncation","1.0","7","12352","8506","0.155236","0.57","0.0684","0.005"
"trees","inconsistent_strategy","0.25","7","12352","13997","0.161444","0.965","0.0436","0.0"
"trees","inconsistent_strategy","0.5","7","12352","15444","0.197055","0.865","0.0535","0.0"
"trees","inconsistent_strategy","0.75","7","12352","16829","0.246291","0.635","0.0592","0.0"
"trees","inconsistent_strategy","0.9","7","12352","17873","0.288371","0.285","0.091","0.0"
"trees","inconsistent_strategy","1.0","7","12352","18755","0.318703","0.06","0.1275","0.0"
"trees","occlusion","0.0","6","12351","12474","0.122049","1.0","0.04","0.0"
"trees","accidental_success","0.0","6","12351","12474","0.122049","1.0","0.04","0.0"
