policy,seed,eval_seed,n_episodes,target_transitions,n_transitions,transition_gap,open_loop_mse,closed_loop_success,final_dist
mlp,0,12345,596,12526,12519,-7,0.12888566,0.995,0.038528
trees,0,12345,596,12526,12519,-7,0.13973865,0.615,0.062574
mlp,1,12346,599,12174,12171,-3,0.12981856,0.98,0.045571
trees,1,12346,599,12174,12171,-3,0.14116977,0.645,0.06357
mlp,2,12347,575,11972,11975,3,0.12790482,0.98,0.043081
trees,2,12347,575,11972,11975,3,0.14270945,0.58,0.070776
mlp,3,12348,582,12227,12228,1,0.13400079,0.975,0.047839
trees,3,12348,582,12227,12228,1,0.1433607,0.6,0.066975
mlp,4,12349,580,12094,12091,-3,0.13393147,0.975,0.04507
trees,4,12349,580,12094,12091,-3,0.14361814,0.75,0.060053
mlp,5,12350,585,12156,12158,2,0.12856443,0.96,0.053126
trees,5,12350,585,12156,12158,2,0.14674911,0.605,0.071823
mlp,6,12351,598,12474,12477,3,0.12770909,0.98,0.045231
trees,6,12351,598,12474,12477,3,0.13661948,0.705,0.064393
mlp,7,12352,592,12244,12249,5,0.12723857,0.945,0.057138
trees,7,12352,592,12244,12249,5,0.14592643,0.54,0.074818
mlp,8,12353,590,12130,12131,1,0.13951418,0.98,0.047006
trees,8,12353,590,12130,12131,1,0.14483058,0.76,0.05551
mlp,9,12354,572,12070,12073,3,0.12530993,0.985,0.04501
trees,9,12354,572,12070,12073,3,0.15424125,0.64,0.064431
